"","999
070","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
075","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
090","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
096","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Reading & Research","Course Total","31","3.967","48.4","3.2",".",".",".",".",".","45.2",".",".","",".",".","",".",".",".","3.2"
"SOC
900","Dept. Total","3239","3.207","31.4","22.2","18.4","9.7","7.7","2.7","1.2","4.2","0.0","1.2","",".","0.4","",".","0.3",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","529","2.816","14.4","19.7","23.4","15.3","18.1","6.8","1.7",".",".",".","",".",".","",".","0.2",".","0.4"
"Sophomore","","548","3.092","25.4","23.5","22.6","13.1","10.6","2.9","1.3","0.2",".",".","",".",".","",".","0.2",".","0.2"
"Junior","","776","3.243","30.4","27.2","22.3","10.7","5.2","2.1","1.7","0.5",".",".","",".",".","",".",".",".","."
"Senior","","762","3.267","33.9","24.3","18.6","9.6","7.0","2.4","1.0","1.3",".","0.5","",".","0.1","",".","1.0",".","0.3"
"Undergraduates","","2615","3.124","27.1","24.1","21.5","11.8","9.4","3.3","1.4","0.6",".","0.2","",".","0.0","",".","0.4",".","0.2"
"Special","","29","2.954","17.2","24.1","20.7","6.9","3.4","3.4","6.9","13.8",".",".","",".",".","",".",".",".","3.4"
"Graduate","","588","3.805","50.9","14.3","4.8","0.7","0.2",".",".","19.6","0.2","6.0","",".","2.0","",".",".",".","1.5"
"Prof Yr 2","","3","2.500","33.3",".",".",".",".","33.3",".","33.3",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","4","4.000","50.0",".",".",".",".",".",".","25.0",".","25.0","",".",".","",".",".",".","."
"Professionals","","7","3.308","42.9",".",".",".",".","14.3",".","28.6",".","14.3","",".",".","",".",".",".","."
"","Dept. Total","3239","3.207","31.4","22.2","18.4","9.7","7.7","2.7","1.2","4.2","0.0","1.2","",".","0.4","",".","0.3",".","0.5"
