"","999
059","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
060","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
061","4","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
062","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Advanced Independent Study","Course Total","63","3.910","71.4","11.1","1.6",".",".",".",".","1.6",".",".","",".","14.3","",".",".",".","."
"CIV ENGR
240","Dept. Total","1417","3.242","35.4","18.3","21.4","7.6","9.5","1.6","0.4","3.4","0.1",".","",".","1.9","",".","0.1","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","23","2.950","13.0","13.0","34.8","21.7","17.4",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","","173","2.826","15.0","17.9","30.1","11.0","16.8","7.5","1.2",".",".",".","",".",".","",".",".","0.6","."
"Senior","","647","3.078","25.8","20.1","25.8","11.7","14.2","1.4","0.5",".",".",".","",".",".","",".","0.3",".","0.2"
"Undergraduates","","843","3.023","23.3","19.5","26.9","11.9","14.8","2.6","0.6",".",".",".","",".",".","",".","0.2","0.1","0.1"
"Special","","45","3.450","33.3","31.1","17.8","4.4","4.4",".",".","2.2",".",".","",".",".","",".",".",".","6.7"
"Graduate","","529","3.688","54.8","15.3","12.9","1.1","1.3","0.2",".","8.9","0.2",".","",".","5.1","",".",".","0.2","."
"","Dept. Total","1417","3.242","35.4","18.3","21.4","7.6","9.5","1.6","0.4","3.4","0.1",".","",".","1.9","",".","0.1","0.1","0.3"
