"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"299","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"319
Agencies&Programs Adult Ed","001","","24","3.174","25.0","25.0","29.2","8.3","4.2",".","4.2",".",".",".",".",".",".","4.2",".","."
"321
Understanding Indiv Adult","001","","32","3.344","78.1","6.3",".",".",".",".","15.6",".",".",".",".",".",".",".",".","."
"355
Educ Concpts/Meths for Empl","001","","42","3.854","69.0","28.6",".",".",".",".",".",".",".",".",".",".",".","2.4",".","."
"371
Prgm Planning-Fam&Consmr Ed","001","","14","3.500","42.9","42.9",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"400
Tchg Exceptnl Stdts-Voc Ed","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Stdt Teaching in Voc Educ","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro-Continuing & Voc Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Intro-Eval in Cont & Voc Ed","001","","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"609","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"609","002","","10","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss & Probs-Cont & Voc Educ","Course Total","","17","3.581","35.3","64.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
The Adult Learner","001","","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Facilitating Adult Learning","001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Curric-Vocatnl&Technical Ed","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Career Dev Through Life Spn","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"675
General Topics","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","17","3.744","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Iss& Probs-Eval-Cont&Voc Ed","001","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"749
Teaching-Learning: Adult Ed","001","","17","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","6","4.000","16.7",".",".",".",".",".",".",".",".",".",".","66.7",".","16.7",".","."
"990","039","","10","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"990","055","","18","3.672","50.0","5.6",".",".",".","5.6",".","27.8",".",".",".","11.1",".",".",".","."
"990","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","7","4.000","57.1",".",".",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 70 of 373"
