"","999
015","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
021","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
047","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Work","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3645","2.874","18.6","14.5","25.0","14.1","17.2","3.5","1.6","5.2","0.0",".","",".","",".","",".","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","618","2.775","12.8","12.1","30.6","16.7","23.5","2.9","1.5",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","1129","2.839","14.8","15.9","27.6","17.5","18.4","3.8","1.5","0.2",".",".","",".","",".","",".","0.2",".","."
"Junior","","614","2.710","14.5","12.4","26.4","16.8","19.5","6.2","2.9","1.1",".",".","",".","",".","",".","0.2",".","."
"Senior","","708","2.860","20.8","14.3","22.7","13.6","19.5","4.1","1.8","2.7","0.1",".","",".","",".","",".","0.1","0.1","0.1"
"Undergraduates","","3069","2.804","15.7","14.1","26.8","16.3","19.9","4.2","1.9","0.9","0.0",".","",".","",".","",".","0.1","0.0","0.0"
"Special","","18","3.384","44.4","22.2","11.1","5.6","5.6","5.6",".","5.6",".",".","",".","",".","",".",".",".","."
"Graduate","","556","3.530","33.8","16.4","15.6","2.2","2.5",".",".","28.8",".",".","",".","",".","",".",".","0.2","0.5"
"Prof Yr 1","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","3645","2.874","18.6","14.5","25.0","14.1","17.2","3.5","1.6","5.2","0.0",".","",".","",".","",".","0.1","0.1","0.1"
