"TERM : 0972","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1996-97","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUR SOC
864","Dept. Total","","94","3.645","59.6","20.2","7.4","3.2","",".","1.1","1.1","5.3","",".",".","",".","",".","",".",".","1.1","1.1"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.375","25.0","25.0","50.0",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","11","3.710","63.6","27.3",".","9.1","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","10","3.000","40.0","20.0","10.0","20.0","",".",".","10.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","20","3.533","45.0","35.0","15.0",".","",".","5.0",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","45","3.437","46.7","28.9","13.3","6.7","",".","2.2","2.2",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","3.500",".","50.0",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","50.0"
"Graduate","","","47","3.911","74.5","10.6","2.1",".","",".",".",".","10.6","",".",".","",".","",".","",".",".","2.1","."
"","Dept. Total","","94","3.645","59.6","20.2","7.4","3.2","",".","1.1","1.1","5.3","",".",".","",".","",".","",".",".","1.1","1.1"
