"ACCOUNTING AND INFO SYSTE","","","","","","","","","","","","","","","","","","","","",""
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"","990
075","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
094","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"PhD Thesis-Accounting","Course Total","9","3.800","44.4",".","11.1",".",".",".",".","22.2","11.1",".","",".","11.1","",".",".",".","."
"ACCT I S
232","Dept. Total","1999","2.997","23.8","14.1","32.7","7.8","16.1","3.5","1.4","0.5","0.1",".","",".","0.1","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","1.500",".",".","25.0",".","25.0","25.0","25.0",".",".",".","",".",".","",".",".",".","."
"Sophomore","","357","2.825","22.1","6.2","36.1","3.6","24.9","5.0","2.0",".",".",".","",".",".","",".",".",".","."
"Junior","","640","2.898","18.3","13.0","36.3","9.1","17.8","4.2","1.4",".",".",".","",".",".","",".",".",".","."
"Senior","","723","2.983","23.2","13.0","32.8","10.2","15.4","3.2","1.5","0.4",".",".","",".",".","",".","0.1",".","0.1"
"Undergraduates","","1724","2.915","21.1","11.5","34.7","8.4","18.3","4.0","1.6","0.2",".",".","",".",".","",".","0.1",".","0.1"
"Special","","36","3.206","19.4","33.3","19.4","11.1","11.1",".",".","5.6",".",".","",".",".","",".",".",".","."
"Graduate","","232","3.573","44.0","29.3","19.8","3.0","1.3",".",".","1.7","0.4",".","",".","0.4","",".",".",".","."
"Prof Yr 2","","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"","Dept. Total","1999","2.997","23.8","14.1","32.7","7.8","16.1","3.5","1.4","0.5","0.1",".","",".","0.1","",".","0.1",".","0.1"
