"EDU","","","","","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","","",""
"RP & SE
194","Dept. Total","1002","3.788","74.2","16.1","6.1","1.5","0.6","0.1","0.6","",".","",".",".","",".","0.8","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.130","37.0","33.3","14.8",".",".","3.7","11.1","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","123","3.805","71.5","20.3","5.7","2.4",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","159","3.803","73.0","17.0","8.2","1.9",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","288","3.735","74.0","14.2","7.6","1.4","1.7",".","1.0","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","597","3.740","71.5","17.1","7.7","1.7","0.8","0.2","1.0","",".","",".",".","",".",".","",".",".",".","."
"Special","","41","3.926","87.8","9.8","2.4",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","364","3.856","76.9","15.1","3.8","1.4","0.3",".",".","",".","",".",".","",".","2.2","",".",".",".","0.3"
"","Dept. Total","1002","3.788","74.2","16.1","6.1","1.5","0.6","0.1","0.6","",".","",".",".","",".","0.8","",".",".",".","0.1"
