"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","237","3.236","36.3","21.9","19.8","8.9","6.8","3.8","1.7","0.4",".","",".",".","",".","",".","","0.4",".","."
"Elem Ancient Egyptian Lang","308
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","78","3.217","26.9","23.1","29.5","9.0","6.4","1.3","1.3",".",".","",".",".","",".","",".","","2.6",".","."
"Interpret-Classcl Mythology","470
001","37","2.671","13.5","16.2","27.0","8.1","13.5","13.5","2.7",".",".","",".",".","",".","",".","","2.7","2.7","."
"Greek & Roman Med & Phcy","561
001","14","3.357","28.6","14.3","57.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Directed Reading","699
003","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Ancient History","801
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","370","3.188","31.9","21.6","23.8","8.4","7.0","4.1","1.6","0.3","",".",".","",".","",".","",".","1.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","2.531","11.8","8.8","29.4","20.6","5.9","8.8","8.8",".","",".",".","",".","",".","",".","5.9",".","."
"Sophomore","","145","3.198","31.0","21.4","27.6","6.9","7.6","3.4","1.4",".","",".",".","",".","",".","",".","0.7",".","."
"Junior","","113","3.250","35.4","23.9","18.6","8.0","8.8","3.5","0.9",".","",".",".","",".","",".","",".",".","0.9","."
"Senior","","70","3.301","32.9","25.7","22.9","7.1","4.3","4.3",".","1.4","",".",".","",".","",".","",".","1.4",".","."
"Undergraduates","","362","3.174","30.9","21.8","24.0","8.6","7.2","4.1","1.7","0.3","",".",".","",".","",".","",".","1.1","0.3","."
"Special","","4","3.750","75.0",".","25.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","4","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","370","3.188","31.9","21.6","23.8","8.4","7.0","4.1","1.6","0.3","",".",".","",".","",".","",".","1.1","0.3","."
