"","699
003","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
006","","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
007","","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","6","3.824","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","","71","3.439","67.6","5.6","12.7","1.4","5.6","4.2","1.4","1.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","12","3.525","75.0",".",".","8.3","16.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","16","3.667","87.5",".","6.3",".",".","6.3",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","14","2.865","42.9",".","28.6",".",".","14.3","7.1","7.1","",".",".","",".","",".","",".",".",".","."
"Senior","","","22","3.527","59.1","18.2","13.6",".","9.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","64","3.395","65.6","6.3","12.5","1.6","6.3","4.7","1.6","1.6","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","6","3.813","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","71","3.439","67.6","5.6","12.7","1.4","5.6","4.2","1.4","1.4","",".",".","",".","",".","",".",".",".","."
