"L&S","","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"SPANISH
Dept. Total
912","2791","3.189","30.6","20.4","27.8","7.5","8.2","1.9","1.6","1.6","0.1",".","",".","0.1","",".","0.1","0.1","0.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1154","3.174","28.3","20.5","32.1","7.5","8.1","1.7","1.7","0.1",".",".","",".",".","",".",".",".","."
"Sophomore","621","3.158","26.7","23.3","29.3","8.4","8.7","1.8","1.6",".",".",".","",".",".","",".",".",".","0.2"
"Junior","409","3.148","32.0","18.8","27.1","5.9","10.5","2.7","2.0","0.5","0.2",".","",".",".","",".","0.2",".","."
"Senior","397","3.135","27.2","21.7","24.4","10.8","9.6","2.5","1.0","2.3","0.3",".","",".",".","",".",".","0.3","."
"Undergraduates","2581","3.161","28.4","21.1","29.4","7.9","8.8","2.0","1.6","0.5","0.1",".","",".",".","",".","0.0","0.0","0.0"
"Special","39","3.417","56.4","7.7","10.3","2.6","2.6",".","5.1","12.8",".",".","",".",".","",".","2.6",".","."
"Graduate","167","3.776","59.9","12.0","6.6","1.8",".","0.6",".","15.6","0.6",".","",".","1.8","",".",".","1.2","."
"Prof Yr 1","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","2","3.214",".","50.0","50.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","4","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".","",".",".","",".",".",".","."
"Dept. Total","2791","3.189","30.6","20.4","27.8","7.5","8.2","1.9","1.6","1.6","0.1",".","",".","0.1","",".","0.1","0.1","0.0"
