"ALS","","","","","","","","","","","","","","","","","","","","","",""
"ANIMAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","","",""
"AN SCI
604","Dept. Total","259","3.076","36.7","15.4","18.1","9.7","11.6","3.1","0.8","3.9","",".",".","",".","0.4","",".",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","2.611","42.6","14.8","5.6","11.1","13.0","11.1","1.9",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","16","3.064","31.3","18.8","12.5","6.3","31.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","58","2.905","24.1","12.1","32.8","8.6","19.0","3.4",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","79","3.105","34.2","17.7","24.1","13.9","8.9",".","1.3",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","207","2.915","33.3","15.5","20.8","11.1","14.5","3.9","1.0",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.447","36.4","36.4","18.2","9.1",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","49","3.903","44.9","8.2","4.1","2.0",".",".",".","36.7","",".",".","",".","2.0","",".",".","2.0","."
"","Dept. Total","267","3.076","35.6","15.0","17.6","9.4","11.2","3.0","0.7","6.7","",".",".","",".","0.4","",".",".","0.4","."
