"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","175
001","","22","3.368","9.1","59.1","4.5","13.6",".",".",".","13.6",".",".",".",".",".",".",".","."
"","175
002","","27","3.087",".","44.4","25.9","7.4","3.7","3.7",".","14.8",".",".",".",".",".",".",".","."
"","175
003","","28","3.563","50.0","7.1","17.9","10.7",".",".",".","10.7",".",".",".",".",".","3.6",".","."
"Volleyball I","Course Total","","77","3.341","20.8","35.1","16.9","10.4","1.3","1.3",".","13.0",".",".",".",".",".","1.3",".","."
"","201
001","","18","3.643","44.4","22.2","5.6",".","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"","201
002","","18","3.409","16.7","16.7","27.8",".",".",".",".","33.3",".",".",".",".",".","5.6",".","."
"Intermediate Swimming","Course Total","","36","3.540","30.6","19.4","16.7",".","2.8",".",".","27.8",".",".",".",".",".","2.8",".","."
"","211
001","","17","3.969","88.2","5.9",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","211
002","","15","3.462","26.7","40.0","13.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","003
211","","17","3.467","35.3","23.5","17.6","11.8",".",".",".","11.8",".",".",".",".",".",".",".","."
"","211
004","","21","3.526","38.1","19.0","33.3",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","70","3.611","47.1","21.4","17.1","2.9","1.4",".",".","10.0",".",".",".",".",".",".",".","."
"Weight Training II","001
232","","18","3.650","22.2","27.8","5.6",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Golf II","238
001","","16","3.792","50.0","18.8","6.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Power Skating","244
001","","21","3.571","28.6","19.0","19.0",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","262
001","","17","3.818","47.1","11.8","5.9",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"","262
002","","17","3.727","29.4","35.3",".",".",".",".",".","29.4",".",".",".",".",".","5.9",".","."
"Tennis II","Course Total","","34","3.773","38.2","23.5","2.9",".",".",".",".","32.4",".",".",".",".",".","2.9",".","."
"Racquetball II","263
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","","10","3.875","60.0","20.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","002
275","","11","3.444","27.3","36.4","9.1",".","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","21","3.647","42.9","28.6","4.8",".","4.8",".",".","19.0",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","25","3.025","8.0","16.0","32.0","20.0","4.0",".",".","16.0",".",".",".",".",".","4.0",".","."
"Bicycling","295
001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","","18","3.765","61.1","22.2","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Aquatic Conditioning","303
001","","15","3.409","26.7","20.0","13.3","13.3",".",".",".","26.7",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","15","3.346","20.0","20.0","46.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","16","3.500","18.8","37.5","18.8",".",".",".",".","18.8",".",".",".",".",".","6.3",".","."
"Topics in Martial Arts","318
001","","16","2.633","25.0","6.3","25.0","12.5","6.3","6.3","12.5",".",".",".",".",".",".","6.3",".","."
"Tennis III","362
001","","19","3.588","36.8","31.6","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
