"","DEPARTMENT INSTRUCTIONAL REPORT","","","","",""
"","","","","","RUN DATE:","8/21/2019"
"","University of Wisconsin-Madison","","","","",""
"","","","","","RUN TIME:","10:25:02AM"
"","Office of the Registrar","","","","",""
"SUBJECT: LANGUAGES AND CULTURES OF ASIA - LANGUAGES (522)","","","","","",""
"TERM: 1196","","","","","",""
"FACILITY_ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"LANGUAGES AND CULTURES OF ASIA - LANGUAGES","","","","","",""
"","","","","","PAGE NUMBER:
1","OF
1"
