"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"157
001","10","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"157
002","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
004","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
008","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
013","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
015","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","164","",".",".",".",".",".",".",".",".",".","93.9",".",".",".",".","6.1","."
"198
002","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"005
198","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"198
006","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
010","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
012","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
090","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","131","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"199
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","4","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","67","3.545","61.2","26.9","3.0","1.5","1.5",".","6.0",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","186","3.079","17.2","28.0","33.9","7.0","8.1","2.7","2.2","0.5",".",".",".",".",".",".",".","0.5"
"202
001
W Culture:Sci,Tech,Phil II","79","3.291","15.2","38.0","41.8","2.5","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","190","3.316","34.7","23.2","26.8","6.8","4.2","2.1","1.1","0.5",".",".",".",".",".",".",".","0.5"
"205
001
W Cult:Pol,Econ&Soc Thght I","207","3.036","6.8","28.5","44.4","15.5","1.9","1.0","1.9",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","292","3.510","39.4","30.1","24.7","2.7","2.4",".",".","0.3",".",".",".",".","0.3",".",".","."
"252
001
Contemporary Life Sciences","132","3.140","31.1","8.3","42.4","3.0","12.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
002","22","3.614","63.6","22.7","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Course Total
Interdis in Arts & Humanities","37","3.689","67.6","18.9","10.8",".",".",".","2.7",".",".",".",".",".",".",".",".","."
