"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"768
Adv Problems in Directing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Shakespeare Smr:Thry&Pract","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Smr-Probs in Theatre&Drama","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"939
Topics-Perf Theory& Critcsm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Collaboratv Design&Tech Studio","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","32","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
