"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","20","3.750","70.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","19","3.447","52.6","21.1","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","100
004","","20","3.675","65.0","5.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","18","3.472","61.1","11.1","11.1","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","98","3.607","59.2","18.4","16.3","3.1","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"","111
001","","19","3.711","73.7","10.5",".","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","111
002","","14","3.357","42.9","7.1","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","","33","3.561","60.6","9.1","15.2","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Intro to Digital Video Prod","315
001","","16","3.719","75.0","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","18","3.556","55.6","27.8","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","18","3.588","50.0","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6","."
"Information Radio","360
001","","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","375
002","","7","3.167","42.9",".","14.3",".","28.6",".",".",".",".",".",".",".","14.3",".",".","."
"","375
003","","24","3.639","54.2","41.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","375
005","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","39","3.541","59.0","25.6","2.6",".","5.1",".","5.1",".",".",".",".",".","2.6",".",".","."
"","399
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","","20","3.600","75.0","10.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","505
001","","10","3.400","50.0","20.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","15","3.500","66.7","13.3","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","16","3.594","56.3","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","8","3.761","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.794","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Intro-Communication Thry&Rsch","720
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci & Envir Communication","860
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
003","","11","3.894","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Special Topics","Course Total","","22","3.879","72.7","22.7",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
