"AFRO-AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151
001","22","3.025","4.5","40.9","27.3","9.1","4.5",".","4.5","9.1",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156
001","261","3.880","75.5","17.6","1.9",".","0.4",".",".","4.6",".",".",".",".",".",".",".","."
"Directed Study","199
007","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222
001","39","3.079","28.2","25.6","20.5","5.1","7.7","7.7","2.6","2.6",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225
001","18","3.611","66.7","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227
001","80","3.456","46.3","21.3","20.0","6.3","2.5","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231
001","96","3.731","69.8","13.5","6.3","2.1","1.0","1.0","1.0","3.1",".",".",".",".",".",".","2.1","."
"Sci, Med, & Race: A History","275
001","29","3.232","20.7","27.6","34.5","3.4","10.3",".",".","3.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","43","3.250","16.3","30.2","34.9","7.0","4.7",".",".","7.0",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326
001","32","3.417","28.1","31.3","28.1","3.1","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366
001","25","3.417","32.0","24.0","32.0","8.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Contemp Afrcn&Caribbn Drama","413
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"19th Century Afro-Amer Lit","501
001","16","3.156","37.5","25.0","6.3","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628
001","20","3.375","30.0","40.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671
001","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672
001","17","3.676","64.7","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674
001","11","3.500","54.5","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","8","3.000","50.0",".","25.0",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"","699
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","Course Total","10","3.052","40.0","10.0","30.0",".",".",".","10.0",".",".",".",".",".","10.0",".",".","."
"","790
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"AFROAMER
106","Dept. Total","768","3.579","53.8","21.6","13.0","3.0","2.5","1.0","0.8","3.6",".",".",".",".","0.3",".","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.555","46.2","36.5","11.5","3.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Sophomore","","134","3.510","50.7","20.9","16.4","4.5","3.0","1.5","0.7","1.5",".",".",".",".",".",".",".","0.7"
"Junior","","218","3.616","62.4","18.3","11.0","2.8","2.3","0.9","1.4","0.9",".",".",".",".",".",".",".","."
"Senior","","332","3.568","50.0","22.3","14.2","2.4","3.0","1.2","0.3","6.0",".",".",".",".","0.6",".",".","."
"Undergraduates","","736","3.571","53.5","21.9","13.5","3.0","2.6","1.1","0.8","3.3",".",".",".",".","0.3",".",".","0.1"
"Special","","6","3.500","33.3",".",".","16.7",".",".",".","16.7",".",".",".",".",".",".","33.3","."
"Graduate","","26","3.848","65.4","19.2","3.8",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","Dept. Total","768","3.579","53.8","21.6","13.0","3.0","2.5","1.0","0.8","3.6",".",".",".",".","0.3",".","0.3","0.1"
