"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","802
001","","17","1.353","11.8",".","29.4",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","802
002","","72","0.883","8.3",".","12.5",".","1.4",".",".","16.7",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","","89","0.987","9.0",".","15.7",".","1.1",".","1.1","13.5",".",".",".",".",".",".",".","."
"","808
001","","15","1.308","6.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
004","","8","0.375",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
005","","9","1.222","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","","38","1.128","10.5",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","","113","1.564","15.0","1.8","23.9",".","0.9",".",".","10.6",".",".",".",".",".",".",".","."
"Comparative Law","818
001","","51","1.804","23.5",".","27.5",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Conflict of Laws","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Law I","822
001","","37","1.441","16.2",".","18.9",".","5.4",".",".","5.4",".",".",".",".",".",".","2.7","."
"Jurisprudence","829
001","","26","0.962","7.7",".","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls","830
001","","22","1.429",".",".","45.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Remedies","839
001","","28","1.321","17.9",".","17.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Unfair Trade Practices","843
001","","8","2.438","37.5","12.5",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","850
001","","41","1.049","7.3",".","19.5",".","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"","850
002","","42","1.619","21.4",".","21.4",".","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","850
003","","18","1.543","16.7",".","16.7",".","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","101","1.369","14.9",".","19.8",".","7.9","3.0",".",".",".",".",".",".",".",".",".","."
"","852
001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","60","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","","7","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"","854
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","","10","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","50.0"
"","854
011","","7","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"","854
012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
014","","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","33.3"
"","854
015","","22","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 325 of 407",""
