"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Am Labor Hist: 1900-Present","408
001","49","3.714","69.4","4.1","4.1","4.1","2.0",".","2.0","14.3",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410
001","71","3.008","16.9","9.9","46.5","8.5","4.2",".","4.2","8.5",".",".",".",".",".",".",".","1.4"
"History-American Education","412
001","61","3.328","31.1","34.4","19.7","1.6","1.6","4.9","1.6","1.6",".",".",".",".","1.6","1.6",".","."
"History of Russia","418
001","90","3.315","13.3","43.3","24.4","5.6",".",".","1.1","10.0",".",".",".",".",".",".","2.2","."
"Amer Foreign Rel-1901 on","434
001","220","3.338","17.7","44.5","25.9","6.4","0.9","0.5","0.9","1.4",".",".",".",".","0.5","0.9",".","0.5"
"Hist of Equatorial Africa","445
001","25","3.673","40.0","44.0","8.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"Hist Southeast Asia to 1800","457
001","38","3.000","26.3","13.2","36.8","7.9","2.6","5.3","5.3",".",".",".",".",".","2.6",".",".","."
"Amer Environmental History","460
001","130","3.521","40.0","26.9","15.4","6.2","1.5","0.8",".","8.5",".",".",".",".","0.8",".",".","."
"The American West to 1850","461
001","111","3.316","22.5","29.7","31.5","7.2","3.6",".",".","4.5",".",".",".",".",".",".",".","0.9"
"Topics in S Asian History","463
001","14","3.571","50.0","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading Seminar in History","500
001","6","3.167","33.3","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507
001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","13","3.500","23.1","46.2","7.7","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","33","2.359","6.1","3.0","27.3","12.1","39.4","3.0","6.1","3.0",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","16","3.188","56.3",".","18.8",".","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"","600
001","16","3.563","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600
002","15","3.300","46.7","20.0","20.0",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","600
003","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","14","3.321","21.4","35.7","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","600
007","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","600
008","17","3.412","47.1","23.5","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"","600
010","15","3.167","26.7","13.3","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","600
011","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
600","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","600
015","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
016","15","3.300","33.3","33.3","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","600
017","18","3.618","50.0","27.8","11.1",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Advanced Seminar in History","Course Total","188","3.573","53.2","24.5","14.4","1.6","3.7","0.5","1.1",".",".",".",".",".","1.1",".",".","."
"Hist-Civ Rghts Movmnt in US","628
001","40","3.108","12.5","37.5","30.0","2.5","5.0",".","5.0",".",".",".",".",".",".","7.5",".","."
"","680
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
