"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Design of Machine Elements","Course Total","76","2.947","14.5","19.7","31.6","19.7","10.5","2.6","1.3",".",".",".",".",".",".",".",".","."
"","349
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
003","17","3.294","11.8","47.1","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","10","3.050",".","10.0","90.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","349
007","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","43","3.372","30.2","25.6","34.9","7.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"","351
001","10","3.300","30.0","30.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","12","3.417","41.7","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","352
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","5","***","","","","","","","","","","","","","","","",""
"","361
001","46","3.076","26.1","10.9","39.1","8.7","10.9","4.3",".",".",".",".",".",".",".",".",".","."
"","361
002","48","3.083","14.6","35.4","31.3","10.4","2.1","2.1","4.2",".",".",".",".",".",".",".",".","."
"","361
003","45","3.011","4.4","28.9","42.2","17.8","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","139","3.058","15.1","25.2","37.4","12.2","5.8","2.9","1.4",".",".",".",".",".",".",".",".","."
"","363
001","50","3.170","24.0","30.0","24.0","16.0","2.0",".","4.0",".",".",".",".",".",".",".",".","."
"","363
002","62","2.952","14.5","11.3","48.4","8.1","14.5","3.2",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","112","3.049","18.8","19.6","37.5","11.6","8.9","1.8","1.8",".",".",".",".",".",".",".",".","."
"","364
001","53","2.991","24.5","22.6","11.3","17.0","20.8","3.8",".",".",".",".",".",".",".",".",".","."
"","364
002","43","2.860","16.3","20.9","20.9","16.3","18.6","7.0",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","96","2.932","20.8","21.9","15.6","16.7","19.8","5.2",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","81","2.975","9.9","16.0","42.0","23.5","8.6",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","51","2.824","7.8","29.4","15.7","21.6","21.6","3.9",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","13","3.462","7.7","76.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","16","3.375","6.3","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","51","3.676","54.9","25.5","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","54","3.676","53.7","27.8","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Metal Cutting","429
001","24","3.479","41.7","20.8","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
001","32","3.172","40.6","6.3","25.0","9.4","15.6","3.1",".",".",".",".",".",".",".",".",".","."
"","446
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","34","3.221","44.1","5.9","23.5","8.8","14.7","2.9",".",".",".",".",".",".",".",".",".","."
