"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","79","3.171","12.7","44.3","22.8","12.7","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","154","001","","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","14","3.286","28.6","21.4","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","","73","3.062","27.4","26.0","15.1","13.7","8.2","9.6",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223","001","","32","3.484","28.1","40.6","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","13","3.792","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Textile Design: Weaving I","229","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253","001","","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design II","322","001","","31","3.661","38.7","54.8","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","12","3.542","66.7","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Perspctv-Design&Culture","360","001","","10","3.550","50.0","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363","001","","16","3.281","25.0","31.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"European Interiors to 18 C","421","001","","47","3.200","29.8","10.6","42.6","6.4","2.1","2.1","2.1","4.3",".",".",".",".",".",".",".","."
"Apparel Design II","425","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Color Theory and Technology","451","001","","17","3.147","23.5","23.5","17.6","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"Dimensions of Material Culture","464","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","001","","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","501","002","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","007","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","009","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","58","3.675","51.7","34.5","10.3","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561","001","","20","3.525","40.0","40.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Internship","601","015","","15","3.805","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design IV","623","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Portfolio Preparation","624","001","","24","3.646","29.2","70.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing Envrs-Older People","630","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taste","642","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
