"","990
035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","50","",".",".",".",".",".",".",".","86.0",".",".",".","14.0",".",".",".","."
"Seminar: Geophysics","991
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","1408","3.042","27.3","16.7","19.8","10.9","14.0","3.7","1.3","5.0","0.1",".",".","0.5","0.1","0.1","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","166","3.028","26.5","16.3","24.1","10.2","18.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"Sophomore","","313","2.966","21.7","18.5","26.2","9.9","18.2","4.8","0.6",".",".",".",".",".",".",".",".","."
"Junior","","328","2.943","25.9","15.9","18.6","15.2","16.2","5.2","2.1",".",".",".",".",".",".",".","0.3","0.6"
"Senior","","427","3.033","22.7","20.1","21.1","12.6","12.9","3.7","1.4","3.5","0.2",".",".",".","0.5","0.2","0.9","."
"Undergraduates","","1234","2.989","23.8","18.1","22.1","12.3","15.8","4.2","1.5","1.2","0.1",".",".",".","0.2","0.1","0.4","0.2"
"Special","","14","3.500","21.4","7.1",".",".","7.1",".",".","64.3",".",".",".",".",".",".",".","."
"Graduate","","160","3.765","54.4","6.9","3.8","1.3","0.6",".",".","28.8",".",".",".","4.4",".",".",".","."
"","Dept. Total","1408","3.042","27.3","16.7","19.8","10.9","14.0","3.7","1.3","5.0","0.1",".",".","0.5","0.1","0.1","0.4","0.1"
