"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","132","2.824","16.7","5.3","39.4","17.4","15.2","3.0","2.3",".",".",".",".",".",".",".",".","0.8"
"215","002","","131","2.989","22.9","9.9","30.5","19.8","15.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","263","2.906","19.8","7.6","35.0","18.6","15.2","1.9","1.5",".",".",".",".",".",".",".",".","0.4"
"299","064","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.550","50.0","16.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","56","3.286","23.2","33.9","25.0","12.5","5.4",".",".",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","20","2.944","40.0",".","25.0","10.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","21","3.143","33.3","14.3","28.6","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"419
Agricultural Finance","001","","16","3.531","62.5",".","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"426
Quant Mthds-Ag & Appl Econ","001","","20","2.632","25.0","20.0","10.0","10.0","10.0","5.0","15.0",".",".",".",".",".","5.0",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","10","2.778","20.0","20.0","20.0",".","10.0","20.0",".",".",".",".",".",".","10.0",".",".","."
"474
Econ Probs-Developing Areas","001","","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"500
Senior Capstone Experience","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Natural Resource Economics","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","24","3.478","29.2","37.5","25.0","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"636
Applied Econometric Anal I","001","","20","3.450","30.0","35.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","10","2.450","30.0","10.0",".","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","3.159","40.0","6.7",".","20.0","13.3",".","13.3",".",".",".",".",".","6.7",".",".","."
"706
Applied Risk Analysis","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Economics of Development 2","001","","10","3.688","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"747
Economics of Food Industry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
