"EDU","","","","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDUC Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","",""
"RP & SE
Dept. Total
194","657","3.888","79.1","11.0","3.2","0.9","0.2","",".","0.3","4.3","",".",".","",".","0.8","",".",".",".","0.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","42","3.810","83.3","9.5","4.8",".",".","",".","2.4",".","",".",".","",".",".","",".",".",".","."
"Sophomore","73","3.856","90.4","2.7","2.7","1.4","1.4","",".","1.4",".","",".",".","",".",".","",".",".",".","."
"Junior","123","3.876","81.3","11.4","4.1","1.6",".","",".",".",".","",".",".","",".",".","",".",".",".","1.6"
"Senior","244","3.921","87.3","8.2","3.3","1.2",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","482","3.893","85.9","8.3","3.5","1.2","0.2","",".","0.4",".","",".",".","",".",".","",".",".",".","0.4"
"Graduate","175","3.867","60.6","18.3","2.3",".",".","",".",".","16.0","",".",".","",".","2.9","",".",".",".","."
"Dept. Total","657","3.888","79.1","11.0","3.2","0.9","0.2","",".","0.3","4.3","",".",".","",".","0.8","",".",".",".","0.3"
