"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","16","3.156","25.0","37.5","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","102
002","22","3.295","9.1","63.6","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.381","28.6","28.6","33.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
102","19","3.605","63.2","15.8","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","20","3.600","65.0","15.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.583","72.2","5.6","11.1",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","116","3.440","43.1","28.4","14.7","6.0","5.2","2.6",".",".",".",".",".",".",".",".",".","."
"","104
001","15","3.714","53.3","26.7","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","104
002","15","3.300","53.3","13.3","6.7","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","104
003","14","3.429","14.3","64.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","104
004","17","3.294","11.8","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","61","3.425","32.8","36.1","19.7","8.2",".",".","1.6","1.6",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","152","3.185","15.1","32.9","33.6","11.2","3.9",".","1.3","1.3",".",".",".",".","0.7",".",".","."
"","112
001","22","3.477","59.1","13.6","13.6",".","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","112
002","18","3.324","55.6","22.2",".","5.6",".",".","11.1","5.6",".",".",".",".",".",".",".","."
"","112
003","20","3.111","40.0","5.0","15.0","15.0","10.0",".","5.0","10.0",".",".",".",".",".",".",".","."
"","112
004","18","3.556","44.4","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
006","17","3.588","52.9","35.3",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","112
007","17","3.563","47.1","29.4","5.9","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","112
008","18","3.583","33.3","61.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","112
009","16","3.594","18.8","81.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","163","3.509","46.6","33.1","6.7","3.7","4.9","0.6","1.8","2.5",".",".",".",".",".",".",".","."
"","212
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","17","3.294","29.4","52.9",".","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","212
003","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","212
004","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","53","3.673","60.4","28.3","3.8","1.9","1.9",".","1.9","1.9",".",".",".",".",".",".",".","."
"","214
001","12","3.628","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture I","Course Total","16","3.713","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
001","13","3.615","61.5","7.7","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","14","3.645","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","222
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","37","3.726","64.9","18.9","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","224
001","8","3.596","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","12","3.660","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","20","3.637","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
003","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
004","11","3.045","9.1","9.1","72.7",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","42","3.417","35.7","19.0","40.5","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","242
001","9","3.774","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
