"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"654
Politics of Revolution","001","","22","3.614","36.4","50.0","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Israeli Politics and Society","001","","62","2.901","11.3","24.2","29.0","17.7","11.3","1.6","3.2",".",".",".",".",".","1.6",".",".","."
"683
Senior Honors Thesis Smr","001","","8","3.750","37.5","37.5",".",".",".",".",".",".",".",".",".","25.0",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"695","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","18","3.529","33.3","38.9","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"695","005","","7","3.214","28.6","42.9","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","45","3.511","37.8","35.6","20.0","2.2",".","2.2",".","2.2",".",".",".",".",".",".",".","."
"698","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","37","3.870","86.5","5.4","5.4",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"742
Intl Development Planning Thry","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Poli Sci-Discipline&Profession","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"818
Maximum Likelihood Estimation","001","","19","3.861","73.7","15.8","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"829
Political Communication","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"836
Formal Models in Political Sci","001","","13","3.636","38.5","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"857
Intl Relations Theories","001","","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
State&Society-Comprtv Perspctv","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Supreme Court&Const-Am Pol","001","","10","3.938","70.0","10.0",".",".",".",".",".","10.0",".",".",".",".","10.0",".",".","."
"873
American Political Parties","001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"900
Topics in Political Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Seminar-American Politics","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Sem-Adv Methodology","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
