"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","27","3.722","88.9","3.7",".",".",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"510
Veterinary Immunology","001","","81","3.333","17.3","39.5","35.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","81","3.400","34.6","23.5","30.9","6.2","3.7",".",".","1.2",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","80","3.531","25.0","56.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"517
Veterinary Bact & Mycology","001","","80","3.581","37.5","41.3","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","8","3.571","50.0",".","37.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"559
Veterinary General Path","001","","80","3.620","45.0","37.5","11.3","5.0",".",".",".","1.3",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","80","3.456","28.8","43.8","18.8","7.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","24","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"675
Special Topics","001","","14","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","11","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","24","3.852","50.0",".",".",".","4.2",".",".","45.8",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
Pract-Veterinary Sci Tchg","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Thesis Research Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","8","3.625","87.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
