"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","397
010","22","3.455","4.5","81.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","17","2.824","11.8","5.9","52.9","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","397
014","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
015","21","3.667","38.1","57.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","253","3.439","26.9","45.8","19.8","4.7","2.4",".","0.4",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","30","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","499
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","499
036","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Independent Study","Course Total","6","3.750","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","3","***","","","","","","","","","","","","","","","",""
"","654
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Science & Engr","Course Total","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","690
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
006","7","3.781","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
007","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
008","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
009","14","3.571","50.0","14.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","690
013","15","3.722","80.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","104","3.762","71.2","18.3","8.7","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
