"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","677","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677","011","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Independent Reading","","Course Total","31","4.000","96.8",".",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Molecular and Medical Genetics","721","001","164","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Genetics","731","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737","001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Search Strategies&Analysis","739","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochm Genetics for Counselors","744","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Work","999","066","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","","Dept. Total","265","3.881","29.1","4.5","1.5",".",".","0.4",".","64.5",".",".",".",".",".",".",".","."
