"LITERATURE IN TRANSLATION","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","54","3.349","55.6","16.7","9.3",".","5.6","9.3","1.9","1.9",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","83","3.717","67.5","16.9","10.8","3.6",".","1.2",".",".",".",".",".",".",".",".",".","."
"The Writings of Vaclav Havel","208","001","16","3.656","68.8","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Masterpieces-Fr Lit & Culture","209","001","57","3.366","29.8","35.1","21.1","8.8","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"Mod Indian Lits in Translation","211","001","12","3.458","50.0","41.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Lits of Cent Asia in Translatn","214","001","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224","001","29","2.931","10.3","27.6","27.6","20.7","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226","001","24","3.348","33.3","25.0","33.3",".",".",".","4.2",".",".",".",".",".",".",".",".","4.2"
"Intro to Biblical Lit","227","001","12","3.292","33.3","16.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233","001","25","3.718","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The World of Sagas","235","001","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soviet Lit in Translation","240","001","28","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","001","26","3.442","30.8","46.2","15.4","3.8",".","3.8",".",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263","001","24","3.119","8.3","25.0","45.8","4.2",".","4.2",".","4.2",".",".",".",".",".","8.3",".","."
"Scand LitTran:Mid Ages-1900","271","001","122","3.418","31.1","35.2","19.7","9.0","4.1",".","0.8",".",".",".",".",".",".",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275","001","246","3.427","31.3","43.1","13.8","6.5","3.3","1.2","0.4","0.4",".",".",".",".",".",".",".","."
"","277","001","20","3.175","15.0","35.0","40.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","277","002","39","3.462","33.3","41.0","17.9","5.1",".","2.6",".",".",".",".",".",".",".",".",".","."
"Topics-20c German Lit(in Tran)","","Course Total","59","3.364","27.1","39.0","25.4","3.4","1.7","3.4",".",".",".",".",".",".",".",".",".","."
"Mod Indonesian Lit in Tran","301","001","9","3.188","33.3","11.1","33.3",".",".","11.1",".","11.1",".",".",".",".",".",".",".","."
"Lit in Transl-Isak Dinesen","334","001","23","3.520","34.8","39.1","17.4","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"Kierkegaard&Scand Lit/Trans","339","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit in Trans-Icelandic Saga","346","001","13","3.000","15.4","15.4","46.2",".",".",".","7.7",".",".",".",".",".",".",".","15.4","."
"In Trans: Modern Scand Drama","349","001","12","2.792","8.3","16.7","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","20","3.650","45.0","40.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","26","3.340","23.1","34.6","26.9","7.7","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"In Trans:Topics-Italian Lit","410","001","19","3.592","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mod Serb&Croat Lit in Trans","455","001","13","3.615","69.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
