"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","24","3.771","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","46","3.804","67.4","26.1","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","","66","3.530","42.4","31.8","18.2","4.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","15","3.143","20.0","6.7","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7"
"Gymnastics for Teaching","126","001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","","40","3.413","32.5","35.0","20.0","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","27","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","51","3.961","92.2","7.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","41","3.378","12.2","56.1","29.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","","43","3.190","16.3","37.2","20.9","14.0","9.3",".",".",".",".",".",".",".",".",".","2.3","."
"","323","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","48","3.948","91.7","6.3","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","","40","3.538","32.5","47.5","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Teachng Elem Phy Ed","335","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","54","3.302","38.9","14.8","27.8","7.4","5.6","3.7",".","1.9",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","42","3.667","59.5","19.0","16.7","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","3.786","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","22","3.905","77.3","18.2",".",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Advanced Exercise Psychology","600","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 99 of 407"
