"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.765","82.4","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.455","40.9","18.2","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
003","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","16","3.467","37.5","31.3","12.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","101
006","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","16","3.313","25.0","31.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
012","21","3.400","23.8","33.3","33.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","101
013","24","3.604","45.8","29.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
016","18","3.056","16.7","22.2","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","101
017","22","3.523","50.0","13.6","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","101
019","15","3.143","13.3","26.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7","."
"First Semester Italian","Course Total","232","3.489","40.5","27.6","22.4","5.2","2.6","0.4",".","0.9",".",".",".",".",".",".","0.4","."
"","102
001","22","3.595","45.5","22.7","27.3",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","102
002","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","24","3.292","25.0","29.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","20","3.100","40.0","10.0","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","102
007","18","3.088","27.8","11.1","33.3","5.6","11.1","5.6",".","5.6",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","105","3.359","38.1","21.0","26.7","7.6","1.9","1.0","1.9","1.9",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","17","3.906","82.4","5.9","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","201
002","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","20","3.600","60.0","15.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","54","3.802","75.9","11.1","7.4","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","203
001","17","3.500","41.2","23.5","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.625","42.9","33.3","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","203
004","19","3.053","15.8","31.6","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","203
006","19","3.579","52.6","21.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","203
007","17","3.176","35.3","11.8","35.3","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","203
008","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","102","3.411","38.2","25.5","25.5","4.9","2.9","1.0","1.0","1.0",".",".",".",".",".",".",".","."
"","204
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","17","3.441","47.1","35.3","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","28","3.500","46.4","32.1","14.3","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"Modern Italian Culture","230
001","23","3.522","43.5","21.7","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Italian for Rdg Knowledge","301
001","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","24","3.410","37.5","29.2","25.0","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","13","3.802","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","453
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Il Settecento","621
001","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Il Romanzo Italiano","635
001","14","3.875","71.4","7.1","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Directed Study","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 236 of 407",""
