"","990
030","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
032","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
038","1","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","26","",".",".",".",".",".",".","",".","65.4","",".",".",".","30.8","",".",".","3.8","."
"DY SCI
292","Dept. Total","217","3.388","46.1","11.5","18.4","3.7","5.5","1.4","",".","8.3","",".",".",".","3.7","",".",".","0.5","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.325","25.0","15.0","60.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","38","3.676","84.2","2.6","7.9","2.6",".","2.6","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","41","3.146","34.1","17.1","24.4","9.8","12.2","2.4","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","66","3.286","43.9","16.7","19.7","4.5","10.6","1.5","",".",".","",".",".",".",".","",".",".",".","3.0"
"Undergraduates","","165","3.328","48.5","13.3","23.0","4.8","7.3","1.8","",".",".","",".",".",".",".","",".",".",".","1.2"
"Special","","9","3.870","77.8","22.2",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","43","3.804","30.2","2.3","4.7",".",".",".","",".","41.9","",".",".",".","18.6","",".",".","2.3","."
"","Dept. Total","217","3.388","46.1","11.5","18.4","3.7","5.5","1.4","",".","8.3","",".",".",".","3.7","",".",".","0.5","0.9"
