"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","14","3.300","35.7","7.1","35.7","14.3","7.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","55","3.517","47.3","20.0","16.4","5.5","5.5","",".","",".","5.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","72","3.490","47.2","16.7","19.4","6.9","5.6","",".","",".","4.2","",".",".","",".","",".","",".",".",".","."
"Special","2","4.000","50.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","50.0","."
"Graduate","105","3.557","32.4","1.9","14.3",".","1.9","",".","",".","49.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
