"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","370","3.583","52.4","27.0","11.1","5.4","2.2","0.5","0.5","0.8",".",".",".",".",".",".",".","."
"Voice Training","140
001","17","3.353","35.3","23.5","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.618","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","003
150","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","19","3.711","73.7",".","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","17","3.844","70.6","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","18","3.833","94.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","137","3.846","83.2","7.3","5.8","1.5","0.7","0.7",".","0.7",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","19","2.921","15.8","42.1","21.1","5.3",".","5.3","10.5",".",".",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Theatrical Production","224
001","58","3.071","20.7","32.8","15.5","15.5","5.2","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","26","3.750","65.4","19.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","263
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","270
001","8","3.440","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans: Modern Scand Drama","349
001","9","2.611","22.2","11.1","11.1","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","17","3.441","29.4","52.9","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","42","3.702","57.1","35.7","4.8",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
