"Pediatric Pulmonary Clrk-CSC","967
041","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
070","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
200","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","138","3.640","50.0","37.0","12.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.7"
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","7","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","11","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","73","3.493","20.5","57.5","20.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","1.4"
"Prof Yr 4","","48","3.858","77.1","18.8","4.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","123","3.617","43.9","41.5","13.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.8"
"","Dept. Total","138","3.640","50.0","37.0","12.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","0.7"
