"BUS","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
003","","11","3.773","72.7","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
002","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"INFO SYS
234","Dept. Total","","50","3.790","70.0","22.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
