"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Modern Dance I","11","001","","16","3.667","68.8","12.5",".",".","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Modern Dance Technique I","111","001","","19","3.579","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","16","3.375","31.3","31.3","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance III","13","001","","19","3.882","73.7","10.5","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Dance Performance Workshop","155","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161","001","","23","3.522","34.8","39.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165","001","","24","3.125","37.5","8.3","25.0","16.7","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Writing Dance Performance","200","001","","21","3.500","57.1","14.3","9.5","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","33","3.645","57.6","15.2","15.2","3.0","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","17","3.471","11.8","70.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","26","3.212","7.7","34.6","50.0","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225","001","","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231","001","","25","3.860","76.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Fundamentals-Dancers","241","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","255","001","","12","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Hist I: Renaissance-50's","265","001","","19","3.342","42.1","21.1","10.5","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"African Dance Performance","277","001","","24","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","30","3.429","26.7","40.0","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32","001","","14","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Javanese Performance","353","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition II","355","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Dance for Children","371","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","8","3.889","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","14","3.860","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","38","3.833","65.8","13.2","7.9",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"","41","002","","37","3.919","73.0","8.1","2.7",".",".",".",".","13.5",".",".",".",".",".","2.7",".","."
"","41","003","","39","3.800","64.1","15.4","10.3",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","41","004","","32","3.839","78.1","3.1",".",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"","41","005","","41","3.938","87.8","7.3","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"","41","006","","37","3.983","78.4","2.7",".",".",".",".",".","18.9",".",".",".",".",".",".",".","."
"Ballroom Dancing","","Course Total","","224","3.886","74.6","8.5","4.0",".","0.9",".",".","11.6",".",".",".",".",".","0.4",".","."
