"","990
082","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
084","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","60","",".",".",".",".",".","",".",".","95.0","",".",".",".","5.0",".",".",".","."
"NEUROSCI
682","Dept. Total","362","3.468","33.4","9.4","11.6","1.4","2.5","",".","0.6","29.8","",".","9.1",".","0.8","0.3",".",".","1.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","22","3.615","54.5","13.6","27.3",".",".","",".",".",".","",".",".",".",".",".",".",".","4.5"
"Senior","","133","3.419","57.1","12.0","18.8","3.8","5.3","",".","1.5",".","",".",".",".",".",".",".",".","1.5"
"Undergraduates","","159","3.462","57.9","11.9","19.5","3.1","4.4","",".","1.3",".","",".",".",".",".",".",".",".","1.9"
"Special","","12","3.456","16.7","50.0","16.7",".",".","",".",".",".","",".",".",".",".","8.3",".",".","8.3"
"Graduate","","172","3.496","13.4","4.7","5.2",".","0.6","",".",".","57.0","",".","18.0",".","1.2",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 3","","13","3.385","23.1",".",".",".","7.7","",".",".","46.2","",".","15.4",".","7.7",".",".",".","."
"Prof Yr 4","","5","3.500",".","20.0",".",".",".","",".",".","80.0","",".",".",".",".",".",".",".","."
"Professionals","","19","3.472","21.1","5.3",".",".","5.3","",".",".","52.6","",".","10.5",".","5.3",".",".",".","."
"","Dept. Total","362","3.468","33.4","9.4","11.6","1.4","2.5","",".","0.6","29.8","",".","9.1",".","0.8","0.3",".",".","1.1"
