"","990
021","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
024","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","41","",".",".",".",".",".",".",".","92.7","",".",".",".","7.3","",".",".",".","."
"M M & I
620","Dept. Total","684","3.540","50.9","17.7","18.0","2.8","3.2","0.7","0.4","5.7","",".",".",".","0.4","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","3.500","66.7",".","22.2",".","11.1",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","106","3.391","52.8","16.0","16.0","4.7","6.6","1.9","1.9",".","",".",".",".",".","",".",".",".","."
"Senior","","291","3.515","55.0","13.1","23.0","3.1","4.1","1.0","0.3","0.3","",".",".",".",".","",".",".",".","."
"Undergraduates","","406","3.481","54.7","13.5","21.2","3.4","4.9","1.2","0.7","0.2","",".",".",".",".","",".",".",".","."
"Special","","13","3.121","7.7","15.4","61.5",".","7.7",".",".",".","",".",".",".",".","",".",".","7.7","."
"Graduate","","102","3.655","48.0","3.9","9.8","1.0",".",".",".","35.3","",".",".",".","2.0","",".",".",".","."
"Prof Yr 1","","4","3.464","50.0","25.0",".","25.0",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","148","3.652","46.6","39.2","12.2","2.0",".",".",".",".","",".",".",".",".","",".",".",".","."
"Prof Yr 3","","9","3.382","44.4","11.1","11.1",".","11.1",".",".","11.1","",".",".",".","11.1","",".",".",".","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".",".",".","",".",".",".","."
"Professionals","","163","3.642","46.6","36.8","11.7","2.5","0.6",".",".","1.2","",".",".",".","0.6","",".",".",".","."
"","Dept. Total","684","3.540","50.9","17.7","18.0","2.8","3.2","0.7","0.4","5.7","",".",".",".","0.4","",".",".","0.1","."
