"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.474","36.8","36.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
002","21","3.595","52.4","23.8","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
003","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","15","3.433","40.0","26.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","21","3.429","23.8","52.4","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.619","38.1","52.4","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","24","3.479","41.7","37.5","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","101
011","16","3.094","6.3","37.5","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
012","19","3.389","26.3","36.8","21.1","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","101
013","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","189","3.489","37.6","37.0","15.3","6.3","2.6",".","0.5","0.5",".",".",".",".",".",".",".","."
"","102
001","19","3.316","36.8","31.6","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"","102
002","21","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.475","45.0","35.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","102
005","18","3.194","11.1","44.4","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","008
102","19","3.333","26.3","36.8","15.8","5.3","10.5",".",".",".",".",".",".",".",".",".",".","5.3"
"","102
009","22","3.158","9.1","31.8","31.8","4.5","9.1",".",".","13.6",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","119","3.361","28.6","37.0","19.3","5.9","4.2",".","1.7","2.5",".",".",".",".",".",".",".","0.8"
"","203
001","22","3.318","18.2","40.9","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","21","3.571","42.9","38.1","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
004","20","3.474","25.0","50.0","10.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".","."
"","203
006","17","2.971","17.6","23.5","29.4","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","203
007","19","3.447","21.1","47.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","19","3.474","31.6","47.4","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","010
203","23","3.341","26.1","34.8","21.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","4.3"
"","203
012","18","3.676","61.1","11.1","16.7","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","203
013","20","3.632","40.0","40.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","195","3.461","33.3","37.4","17.9","5.6","3.1","0.5",".","1.0","0.5",".",".",".",".",".",".","0.5"
"","204
001","23","3.217","17.4","39.1","26.1","13.0",".","4.3",".",".",".",".",".",".",".",".",".","."
"","204
002","24","3.381","20.8","33.3","25.0","8.3",".",".",".","12.5",".",".",".",".",".",".",".","."
"","204
004","24","3.292","16.7","37.5","37.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
006","22","3.333","18.2","36.4","31.8","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"","204
008","21","2.950","4.8","23.8","28.6","33.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","204
010","19","2.763",".","15.8","36.8","31.6","15.8",".",".",".",".",".",".",".",".",".",".","."
"","204
011","20","3.579","35.0","40.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","204
012","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","172","3.256","18.0","33.7","29.1","12.2","2.9","0.6",".","3.5",".",".",".",".",".",".",".","."
"French Interdis Studies","211
001","19","3.158",".","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","227
001","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
002","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
003","22","3.523","31.8","50.0","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","227
004","19","3.263","21.1","42.1","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","227
005","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","97","3.510","33.0","45.4","18.6","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
