"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","3.867","93.3",".",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","105
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
008","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","72","3.938","93.1","4.2","1.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","110
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","Course Total","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","115
014","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
015","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
018","14","3.393","28.6","64.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","115
019","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
020","17","3.500","47.1","41.2","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","115
021","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
022","11","3.182","18.2","54.5","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","115
023","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
026","8","3.313","62.5",".",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","115
027","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
030","10","3.800","80.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","9","3.444","33.3","44.4",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","203","3.712","70.0","19.2","5.4","2.0","1.5",".","2.0",".",".",".",".",".",".",".",".","."
"","125
001","11","3.409","63.6","9.1","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","125
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","125
004","12","3.750","91.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","125
005","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
125","12","3.167","66.7",".","8.3",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"","125
007","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
009","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","125
010","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","125
011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
012","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
013","11","3.636","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","125
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","017
125","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
