"Diagnostic Radiol Clerk-CSC","Course Total","","8","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","923
006","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","923
012","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"RADIOL
832","Dept. Total","","99","3.907","80.8","17.2","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","29","3.897","82.8","13.8","3.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","67","3.907","79.1","19.4","1.5","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","97","3.905","80.4","17.5","2.1","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","99","3.907","80.8","17.2","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
