"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Humanities","102
001","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Literature","103
001","15","3.033","6.7","20.0","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Natural Sci","104
001","20","3.425","50.0","15.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","106
001","18","3.417","22.2","38.9","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
106","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","106
003","20","3.700","65.0","20.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","106
004","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","76","3.753","69.7","14.5","11.8",".","2.6",".",".",".",".",".",".",".",".",".",".","1.3"
"1st-Yr Smr: Soc Sci, Ethnic St","118
001","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Interdis Smr: Diversity","180
001","38","3.908","81.6","18.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","11","3.960","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","15","3.955","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","14","3.943","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","15","3.545","46.7","20.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"","250
005","11","3.854","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
250","7","3.786","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","007
250","12","3.923","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","008
250","12","3.929","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","14","3.906","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
250","16","3.921","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","127","3.875","81.1","9.4","6.3",".","0.8",".",".",".",".",".",".",".",".",".","1.6","0.8"
"Paradigms&Process-Acad Inquiry","315
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","10","3.963","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Grad Stdts in Teaching","701
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","334","3.759","72.8","13.8","9.3","1.8","0.9","0.3",".",".",".",".",".",".",".",".","0.6","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","231","3.693","65.4","17.3","11.3","2.6","1.3","0.4",".",".",".",".",".",".",".",".","0.9","0.9"
"Sophomore","","67","3.915","88.1","6.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","22","3.961","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","12","3.926","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","332","3.758","72.6","13.9","9.3","1.8","0.9","0.3",".",".",".",".",".",".",".",".","0.6","0.6"
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","334","3.759","72.8","13.8","9.3","1.8","0.9","0.3",".",".",".",".",".",".",".",".","0.6","0.6"
