"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","65","3.087","13.8","27.7","30.8","16.9","4.6","3.1",".",".",".",".",".",".",".","1.5",".","1.5"
"122
Introductory Horticulture","001","","23","3.652","69.6","13.0","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","13","2.458","7.7",".","46.2","7.7","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".","."
"299
Independent Study","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","21","3.452","38.1","23.8","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","43","3.036","30.2","11.6","20.9","14.0","16.3","4.7",".","2.3",".",".",".",".",".",".",".","."
"375
Special Topics","001","","32","3.471","37.5","46.9","12.5",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"461
Adv Turfgrass Mgmt & Physiol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","22","3.068","22.7","18.2","36.4","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"571","001","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"571","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Horticulture Teaching","Course Total","","2","***","","","","","","","","","","","","","","","",""
"957
Seminar-Plant Breeding","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
