"TERM : 1092","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2008-2009","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY
132","Dept. Total","146","3.417","39.7","16.4","17.8","3.4","6.8","0.7","",".","13.0","",".",".","",".","1.4","",".","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.400","60.0",".","20.0",".","20.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","29","3.118","24.1","13.8","34.5","13.8","10.3",".","",".",".","",".",".","",".",".","",".","3.4",".","."
"Junior","","25","3.534","48.0","32.0","12.0","4.0","4.0",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","40","3.383","47.5","17.5","20.0",".","12.5","2.5","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","99","3.342","41.4","19.2","22.2","5.1","10.1","1.0","",".",".","",".",".","",".",".","",".","1.0",".","."
"Special","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","44","3.781","31.8","11.4","9.1",".",".",".","",".","43.2","",".",".","",".","4.5","",".",".",".","."
"","Dept. Total","146","3.417","39.7","16.4","17.8","3.4","6.8","0.7","",".","13.0","",".",".","",".","1.4","",".","0.7",".","."
