"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","139","2.781","22.3","5.0","33.8","2.9","28.1","6.5","1.4",".",".",".",".",".",".",".",".","."
"201","002","","69","2.964","30.4","7.2","34.8","2.9","17.4","2.9","4.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","208","2.841","25.0","5.8","34.1","2.9","24.5","5.3","2.4",".",".",".",".",".",".",".",".","."
"202","001","","70","2.721","8.6","15.7","21.4","25.7","27.1",".","1.4",".",".",".",".",".",".",".",".","."
"202","002","","72","2.507","5.6","6.9","16.7","33.3","34.7","1.4","1.4",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","142","2.613","7.0","11.3","19.0","29.6","31.0","0.7","1.4",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","106","2.958","16.0","20.8","34.9","8.5","13.2","6.6",".",".",".",".",".",".",".",".",".","."
"307","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","002","","7","3.214","28.6","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"307","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","005","","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","007","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","45","3.467","31.1","40.0","22.2","4.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","39","3.346","17.9","43.6","28.2","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","41","3.341","43.9","9.8","29.3","4.9","12.2",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","42","2.643","16.7","11.9","11.9","16.7","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"508
Composite Materials","001","","12","3.625","50.0","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","38","2.803","13.2","13.2","28.9","26.3","13.2","2.6","2.6",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","43","2.616","2.3","14.0","32.6","20.9","23.3","7.0",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","12","3.292","33.3","41.7","8.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","14","3.464","14.3","64.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Adv Mech Testing-Materials","001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Adv Methods-Structurl Dynamics","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","5","***","","","","","","","","","","","","","","","",""
"925
Rheology Research Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 120 of 407",""
