"FOREST AND WILDLIFE ECOLO","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100","001","117","3.509","61.5","13.7","6.8","8.5","4.3","3.4","0.9","0.9",".",".",".",".",".",".",".","."
"Intro-Rsrce Based Recreatn","230","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","026","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","160","2.566","10.0","16.9","21.9","16.9","19.4","9.4","5.0","0.6",".",".",".",".",".",".",".","."
"Ecol Prin Appl to Wildlife","319","001","39","3.256","38.5","15.4","28.2","10.3","2.6","2.6","2.6",".",".",".",".",".",".",".",".","."
"Rsrce-Oriented Recreatn Mgt","330","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","25","3.720","68.0","12.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","046","11","3.016","27.3","9.1","36.4",".","18.2","9.1",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","15","3.129","46.7","6.7","26.7",".","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","399","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","9","3.925","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","42","3.138","16.7","23.8","31.0","21.4",".","2.4",".","4.8",".",".",".",".",".",".",".","."
"Dendrology","402","001","19","3.711","68.4","5.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","16","3.438","56.3","12.5","25.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","53","3.349","41.5","18.9","18.9","9.4","11.3",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","550","001","52","3.824","78.8","9.6","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","25","3.300","40.0","16.0","32.0","4.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"","571","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","571","002","10","3.450","40.0","30.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","16","3.531","50.0","18.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium in Env Tox","606","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicm-Forestry&Wl Ecol Tchg","799","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metapopulatns&Other Adv Topics","840","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875","002","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","875","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
