"L&S","","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","320
002","","18","3.000","22.2","22.2","27.8",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","320
003","","22","3.000","27.3","22.7","9.1","4.5","36.4",".",".",".",".",".",".",".",".",".",".","."
"","004
320","","24","3.457","50.0","25.0","8.3","4.2","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","","90","3.270","37.8","23.3","16.7","3.3","15.6","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"","322
001","","24","3.625","54.2","25.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","22","3.295","27.3","31.8","36.4",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","","46","3.467","41.3","28.3","23.9","4.3",".",".","2.2",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","","20","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","23","2.978","39.1","13.0","8.7","8.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","324
002","","24","3.333","50.0","12.5","16.7","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","Course Total","","47","3.160","44.7","12.8","12.8","6.4","17.0","4.3","2.1",".",".",".",".",".",".",".",".","."
"","325
001","","24","3.375","37.5","20.8","29.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","325
002","","24","3.438","37.5","33.3","12.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","325
003","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","","70","3.564","51.4","24.3","14.3","5.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","20","3.350","40.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","326
002","","24","3.521","58.3","8.3","20.8","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"","326
003","","22","3.386","40.9","22.7","22.7",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","66","3.424","47.0","16.7","21.2","4.5","10.6",".",".",".",".",".",".",".",".",".",".","."
"","327
001","","22","3.523","50.0","18.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","327
002","","26","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","327
003","","24","3.083","33.3","8.3","29.2","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","72","3.438","45.8","19.4","22.2","4.2","6.9","1.4",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","","25","3.788","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","","22","3.597","45.5","40.9","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","417
001","","22","3.655","63.6","18.2","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
002","","25","3.692","68.0","24.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","460
001","","22","3.766","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","","25","3.719","80.0","4.0","12.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","47","3.742","70.2","17.0","10.6",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"The Spanish American Novel","463
001","","25","3.590","48.0","32.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Amer Lit","466
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","468
001","","28","3.598","50.0","35.7",".","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","468
002","","25","3.962","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","53","3.771","69.8","22.6",".","5.7","1.9",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Hispanic Cultures","476
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Medieval Lit","503
001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","505
001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of Spanish Lang","548
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
