"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","38","2.632","10.5","7.9","31.6","18.4","26.3",".","5.3",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","242","3.379","26.4","35.1","29.8","5.0","1.2","0.8","0.4","0.8",".",".",".",".",".","0.4",".","."
"","120","001","52","2.798","19.2","7.7","25.0","21.2","23.1","1.9","1.9",".",".",".",".",".",".",".",".","."
"","120","002","46","3.293","30.4","26.1","23.9","10.9","8.7",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","98","3.031","24.5","16.3","24.5","16.3","16.3","1.0","1.0",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","62","3.098","33.9","8.1","14.5","27.4","14.5",".",".","1.6",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","38","3.921","89.5","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","39","3.054","15.4","15.4","33.3","25.6","5.1",".",".","5.1",".",".",".",".",".",".",".","."
"Resources and People","139","001","38","3.068","18.4","34.2","18.4","5.3","18.4",".","2.6","2.6",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","17","3.765","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","45","3.081","24.4",".","53.3","2.2","15.6",".",".",".",".",".",".",".",".",".","4.4","."
"Soils and Envrnmtl Quality","324","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","7","3.214","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","74","2.887","23.0","6.8","27.0","14.9","18.9","5.4",".","4.1",".",".",".",".",".",".",".","."
"","339","002","74","2.836","17.6","13.5","31.1","16.2","9.5","9.5","1.4","1.4",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","148","2.861","20.3","10.1","29.1","15.5","14.2","7.4","0.7","2.7",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","24","3.089","20.8","8.3","54.2",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","51","3.620","64.7","11.8","17.6",".",".","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"Renewable Energy Systems","367","001","21","3.476","66.7","19.0","4.8",".",".",".","9.5",".",".",".",".",".",".",".",".","."
"Nuclear Energy & Envr","373","001","23","3.614","43.5","43.5",".","4.3","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Field Ecology Workshop","375","001","21","3.571","38.1","38.1","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Phys Sciences","401","001","28","3.278","28.6","25.0","25.0","7.1","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"","402","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","402","005","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Envir: Soc&Human St","","Course Total","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","43","3.071","23.3","18.6","30.2","14.0","7.0","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Environmental History","460","001","65","3.452","32.3","29.2","27.7","4.6","1.5",".",".","4.6",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","34","3.742","58.8","26.5","11.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Modlng&Analysis of Envr Sys","506","001","19","3.658","63.2","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513","001","7","3.600","28.6","28.6","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Air Resources Science & Policy","539","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","7","3.583","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","600","001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Envir Studies Cert Seminar","","Course Total","41","3.863","78.0","12.2","7.3",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 150 of 407",""
