"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","11","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","12","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","9","3.111",".","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
055","12","3.292","25.0","33.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
057","13","3.038","7.7","30.8","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
058","10","3.050",".","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
059","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","12","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
063","10","3.100","20.0","30.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","100
064","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","707","3.311","19.0","44.0","24.6","8.5","2.5","0.7","0.6",".",".",".",".",".",".",".",".","0.1"
"","105
001","17","3.294","17.6","35.3","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","17","3.176","17.6","47.1","23.5",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","105
003","18","3.294","22.2","44.4","22.2",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"","105
004","12","2.875",".","33.3","16.7","41.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","105
005","18","3.500","44.4","27.8","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","13","3.269",".","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","95","3.255","18.9","40.0","25.3","10.5","2.1",".","2.1","1.1",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","11","3.545","45.5","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","229","3.134","17.5","26.6","32.3","17.5","3.5","1.3","0.9","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260
001","237","3.114","11.0","33.3","35.4","13.1","5.1","0.4","1.3",".",".",".",".",".",".","0.4",".","."
"Thry&Pract-Argument&Debate","262
001","106","3.154","13.2","38.7","24.5","16.0","3.8",".","1.9","1.9",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","103","3.519","35.0","39.8","24.3",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","96","3.318","25.0","33.3","34.4","3.1","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","325
001","103","3.034","16.5","17.5","41.7","10.7","8.7","3.9",".",".",".",".",".",".",".","1.0",".","."
"Introduction to Film","350
001","147","3.100","10.2","36.1","31.3","15.0","3.4","0.7","2.0","1.4",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","174","3.267","24.7","36.2","24.1","8.0","2.9","2.9","1.1",".",".",".",".",".",".",".",".","."
"History of World Cinema","352
001","85","3.076","12.9","34.1","31.8","11.8","4.7","2.4","2.4",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355
001","141","3.369","25.5","42.6","22.7","4.3","3.5",".","1.4",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","85","3.312","24.7","36.5","25.9","7.1","3.5","2.4",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","116","3.125","20.7","19.8","36.2","15.5","6.0","0.9","0.9",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370
001","168","3.137","18.5","31.0","23.8","16.7","8.3","1.8",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","83","3.175","27.7","31.3","21.7","8.4","4.8","1.2","4.8",".",".",".",".",".",".",".",".","."
"Psychology of Communication","402
001","20","2.950","15.0","15.0","40.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410
001","25","2.880","8.0","12.0","48.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450
001","40","3.175","12.5","25.0","47.5","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451
001","42","3.202","14.3","40.5","28.6","9.5","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"American Independent Cinema","462
001","21","3.619","38.1","52.4","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465
001","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466
001","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 181 of 407",""
