"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","22","2.917","18.2","13.6","18.2","18.2","9.1",".","4.5","13.6",".",".",".",".","4.5",".",".","."
"306
The Real Estate Process","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","19","3.289","31.6","21.1","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"590","002","","9","3.688","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","28","3.407","35.7","25.0","21.4","10.7","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"720
Urban Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"721","001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"721","002","","14","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","23","3.435","17.4","52.2","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","17","3.647","47.1","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"742
Intl Development Planning Thry","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"830
Land Use Controls","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","22","3.591","31.8","59.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"865
Water Resrce Inst&Policies","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Theory&Practice-Ed Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"878
Public Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Planning Workshop","001","","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969
Smr:Trends&Iss-Public Plan","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
