"MEDICAL MICROBIOL & IMMUNO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","67","3.388","50.7","10.4","19.4","10.4","7.5",".","1.5",".",".",".",".",".",".",".",".","."
"302","001","","30","3.617","50.0","23.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"302","002","","23","3.630","52.2","21.7","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","53","3.623","50.9","22.6","26.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","123","3.459","52.8","17.9","14.6","4.1","8.1","1.6","0.8",".",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","47","3.340","29.8","17.0","46.8","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","71","3.174","35.2","5.6","42.3",".","8.5","4.2","1.4","1.4",".",".",".",".",".",".","1.4","."
"554
Infect Diseases & Bioterrorism","001","","36","3.708","63.9","16.7","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"677
Adv Topics-Medicl Microbiol","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"696
Critical Thinking in M M & I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","37","3.987","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","150","3.647","46.7","38.7","12.0","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Current Issues in Microbiology","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Journal Club","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 342 of 407",""
