"","990
103","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
116","4","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
152","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Reading and Research","Course Total","25","",".",".",".",".",".",".",".","96.0","4.0",".",".","",".","",".",".",".","."
"MATH
600","Dept. Total","6802","2.831","26.0","11.5","23.6","11.0","15.1","6.1","4.0","0.6","0.0","1.9","0.0","",".","",".","0.0","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2879","2.794","21.9","10.4","25.6","11.4","16.3","6.5","4.0",".",".","3.8","0.1","",".","",".","0.1",".","0.0"
"Sophomore","","1840","2.815","25.3","13.0","23.8","11.8","14.2","6.5","4.2",".",".","1.0",".","",".","",".",".","0.1","0.1"
"Junior","","991","2.735","24.7","10.2","23.2","12.5","17.7","6.3","5.0","0.1",".","0.2",".","",".","",".",".",".","0.1"
"Senior","","659","2.754","23.2","12.9","22.8","11.5","17.0","7.1","4.4","0.5","0.2","0.2",".","",".","",".","0.2",".","0.2"
"Undergraduates","","6369","2.788","23.5","11.4","24.4","11.7","16.0","6.5","4.3","0.1","0.0","2.0","0.0","",".","",".","0.0","0.0","0.1"
"Special","","45","3.437","55.6","11.1","15.6","6.7","6.7","2.2",".","2.2",".",".",".","",".","",".",".",".","."
"Graduate","","387","3.748","64.3","13.7","10.1","1.0","1.0","0.5",".","8.5","0.3",".",".","",".","",".",".","0.3","0.3"
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"","Dept. Total","6802","2.831","26.0","11.5","23.6","11.0","15.1","6.1","4.0","0.6","0.0","1.9","0.0","",".","",".","0.0","0.0","0.1"
