"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Criminology","441
001","102","3.441","51.0","23.5","10.8","3.9","6.9","2.0","2.0",".",".",".",".",".",".",".",".","."
"","475
001","52","3.098","30.8","15.4","32.7","3.8","7.7","3.8","3.8",".",".",".",".",".",".",".","1.9","."
"","475
002","11","3.150","18.2","45.5","18.2",".",".",".","9.1",".",".",".",".",".","9.1",".",".","."
"","475
003","26","2.731","26.9","23.1","19.2","7.7","3.8",".","19.2",".",".",".",".",".",".",".",".","."
"","475
004","32","3.391","43.8","15.6","21.9","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","121","3.101","32.2","19.8","25.6","6.6","5.8","1.7","6.6",".",".",".",".",".","0.8",".","0.8","."
"","496
001","23","2.891","26.1","21.7","30.4",".","4.3","8.7","8.7",".",".",".",".",".",".",".",".","."
"","496
005","26","3.937","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
008","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
009","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","496
010","24","3.688","62.5","25.0","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","011
496","19","3.263","31.6","26.3","5.3","31.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","128","3.557","59.4","19.5","9.4","6.3","2.3","1.6","1.6",".",".",".",".",".",".",".",".","."
"","002
530","47","2.848","12.8","23.4","17.0","19.1","21.3","4.3",".","2.1",".",".",".",".",".",".",".","."
"","003
530","29","2.293","10.3","3.4","20.7","6.9","37.9","20.7",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","76","2.670","11.8","15.8","18.4","14.5","27.6","10.5",".","1.3",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","30","3.083","26.7","23.3","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624
001","23","3.079","30.4","21.7","21.7","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"Sociology of the Family","640
001","34","3.412","26.5","35.3","32.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648
001","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652
001","31","3.483","54.8","6.5","19.4",".","12.9",".",".",".",".",".",".",".","3.2",".","3.2","."
"Population and Society","663
001","19","3.500","47.4","10.5","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
001","18","3.250","27.8","38.9","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","681
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","698
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","179","3.956","93.3","3.9","0.6",".","0.6",".","0.6",".",".",".",".",".","0.6",".","0.6","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","18","3.818","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","213","3.944","91.5","5.6","0.9",".","0.5",".","0.5",".",".",".",".",".","0.5",".","0.5","."
"Intro Prosmr-Grad Students","700
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intermed Political Sociol","724
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 301 of 407",""
