"","990
021","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
026","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
030","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","22","",".",".",".",".",".",".",".","22.7","",".",".",".","77.3","",".",".",".","."
"BSE
112","Dept. Total","206","3.428","35.4","18.9","12.6","5.3","4.4","1.9","1.0","2.4","",".","9.7",".","8.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","11","3.481","36.4","45.5",".",".","18.2",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","39","3.442","28.2","38.5","17.9","10.3","2.6",".",".",".","",".","2.6",".",".","",".",".",".","."
"Senior","","109","3.395","39.4","13.8","13.8","5.5","3.7","3.7","1.8",".","",".","17.4",".","0.9","",".",".",".","."
"Undergraduates","","159","3.413","36.5","22.0","13.8","6.3","4.4","2.5","1.3",".","",".","12.6",".","0.6","",".",".",".","."
"Special","","5","2.900","40.0",".",".","20.0","40.0",".",".",".","",".",".",".",".","",".",".",".","."
"Graduate","","42","3.732","31.0","9.5","9.5",".",".",".",".","11.9","",".",".",".","38.1","",".",".",".","."
"","Dept. Total","206","3.428","35.4","18.9","12.6","5.3","4.4","1.9","1.0","2.4","",".","9.7",".","8.3","",".",".",".","."
