"ENGLISH","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"American Literature","217","001","177","3.460","34.5","41.2","14.7","4.0","3.4","1.1","0.6","0.6",".",".",".",".",".",".",".","."
"Shakespearean Drama","219","001","202","2.663","8.4","8.4","44.6","9.9","18.8","4.5","4.5","1.0",".",".",".",".",".",".",".","."
"","300","001","12","3.458","41.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","","Course Total","45","3.667","57.8","22.2","15.6","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","301","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301","002","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","301","003","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","301","004","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301","005","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","301","006","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","","Course Total","79","3.677","55.7","31.6","7.6","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302","001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Fiction Workshop","303","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Poetry Workshop","305","001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","307","001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition-English Tchrs","309","001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316","001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316","003","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Writng Across Curriculm","","Course Total","28","3.786","60.7","35.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old English","320","001","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Middle English","321","001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","324","001","30","3.633","50.0","33.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","10","",".",".",".",".",".",".",".",".",".","80.0","20.0",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","40","",".",".",".",".",".",".",".",".",".","97.5","2.5",".",".",".",".","."
"English Phonology","330","001","33","3.515","30.3","45.5","21.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"English Lang Variation in U.S.","331","001","38","3.539","39.5","31.6","26.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","34","3.471","11.8","70.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","23","3.696","65.2","17.4","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Medieval Eng Lit","361","001","21","3.425","38.1","33.3","19.0",".",".",".","4.8",".",".",".",".",".",".",".","4.8","."
"A Theme-Medieval Eng Lit","362","001","24","3.458","29.2","37.5","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","28","3.393","32.1","21.4","39.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-18c Eng Lit","441","001","31","3.567","45.2","29.0","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".","3.2","."
"English Novel: 19th Cent","460","001","32","3.359","28.1","28.1","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intell Opinion-19c Eng Lit","461","001","22","3.341","22.7","27.3","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 203 of 407",""
