"Intro to International Studies","301
001","191","3.076","14.1","36.1","26.7","9.4","8.9","1.6","2.6",".","",".","",".",".","",".","",".","",".","0.5","."
"Growth&Develpmt Global Econ","374
001","33","2.781","15.2","12.1","27.3","24.2","9.1","6.1","3.0",".","",".","",".",".","",".","",".","","3.0",".","."
"Topics-Intl Pol Econ&Pol St","602
001","16","3.375","12.5","62.5","18.8",".","6.3",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Topics-International Studies","620
001","9","",".",".",".",".",".",".",".",".","",".","","100.0",".","",".","",".","",".",".","."
"INTL ST
504","Dept. Total","249","3.061","13.7","33.3","25.3","10.4","8.4","2.0","2.4","",".","",".","3.6","",".","",".","",".","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","2.659",".","33.3","16.7","16.7","16.7","16.7",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","66","2.954","13.6","31.8","30.3","9.1","6.1",".","7.6","",".","",".",".","",".","",".","",".","1.5",".","."
"Senior","","164","3.116","15.2","36.0","24.4","11.6","9.8","2.4","0.6","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","236","3.060","14.4","34.7","25.8","11.0","8.9","2.1","2.5","",".","",".",".","",".","",".","",".","0.4",".","."
"Special","","11","3.000",".",".","9.1",".",".",".",".","",".","",".","81.8","",".","",".","",".",".","9.1","."
"Graduate","","2","3.250",".","50.0","50.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","249","3.061","13.7","33.3","25.3","10.4","8.4","2.0","2.4","",".","",".","3.6","",".","",".","",".","0.4","0.4","."
