"MED","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","739","2.962","34.8","10.6","24.9","2.6","13.7","4.5","2.2","5.8","0.1","0.7","",".","",".","",".","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","86","2.424","15.1","2.3","33.7","4.7","22.1","14.0","7.0",".",".",".","",".","",".","",".","1.2",".","."
"Junior","","170","2.773","29.4","5.9","28.2","2.4","24.7","5.3","4.1",".",".",".","",".","",".","",".",".",".","."
"Senior","","135","3.124","51.9","5.2","20.0",".","11.9","7.4","2.2","0.7","0.7",".","",".","",".","",".",".",".","."
"Undergraduates","","391","2.806","34.0","4.9","26.6","2.0","19.7","7.9","4.1","0.3","0.3",".","",".","",".","",".","0.3",".","."
"Special","","12","3.241","50.0",".","25.0","8.3","16.7",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","224","3.584","41.1","23.2","12.5","2.2","0.4","0.4",".","17.9",".","2.2","",".","",".","",".",".",".","."
"Prof Yr 1","","109","3.034","23.9","6.4","45.0","4.6","19.3",".",".",".",".",".","",".","",".","",".",".",".","0.9"
"Prof Yr 2","","1","1.000",".",".",".",".",".","100.0",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Professionals","","112","3.015","23.2","6.3","43.8","4.5","18.8","0.9",".","1.8",".",".","",".","",".","",".",".",".","0.9"
"","Dept. Total","739","2.962","34.8","10.6","24.9","2.6","13.7","4.5","2.2","5.8","0.1","0.7","",".","",".","",".","0.1",".","0.1"
