"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","465","2.997","28.8","17.2","24.1","5.4","15.7","5.8","2.6","0.4",".",".",".",".",".",".",".","."
"329","001","","63","3.460","47.6","20.6","17.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"329","002","","61","3.672","60.7","21.3","11.5","4.9","1.6",".",".",".",".",".",".",".",".",".",".","."
"329","003","","59","3.661","62.7","18.6","11.9","1.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","183","3.596","56.8","20.2","13.7","3.8","5.5",".",".",".",".",".",".",".",".",".",".","."
"637
Functional Neuroanatomy","001","","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"675","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Anatomy","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","32","3.962","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Med Cell Biology & Immunology","001","","164","",".",".",".",".",".",".",".","99.4",".",".",".",".",".",".",".","0.6"
"722","004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinicl Anatomy & Radiology","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
