"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","224
008","22","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","224
009","23","3.435","39.1","17.4","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","224
010","21","3.238","23.8","33.3","28.6","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","224
011","23","3.500","39.1","30.4","17.4","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","217","3.586","51.2","24.0","18.9","3.2","1.4","0.9",".","0.5",".",".",".",".",".",".",".","."
"","226
002","18","3.139","16.7","27.8","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","226
003","19","3.389","26.3","21.1","47.4",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
004","19","3.289","21.1","31.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
005","19","3.184","21.1","26.3","36.8",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","226
006","19","3.333","21.1","31.6","31.6","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","226
007","19","3.111","10.5","36.8","26.3","5.3","15.8",".",".","5.3",".",".",".",".",".",".",".","."
"","226
008","19","2.842",".","10.5","68.4",".","21.1",".",".",".",".",".",".",".",".",".",".","."
"","226
010","17","3.324","11.8","47.1","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","226
011","20","3.300","30.0","30.0","25.0",".","15.0",".",".",".",".",".",".",".",".",".",".","."
"","226
012","20","3.425","25.0","40.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","19","3.211","15.8","42.1","26.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"","226
014","19","3.474","31.6","36.8","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","20","3.525","50.0","10.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","16","3.094","6.3","31.3","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
017","20","2.763",".","20.0","45.0","15.0","10.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","226
018","19","3.211","26.3","10.5","47.4","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","019
226","19","2.579","10.5","10.5","31.6","10.5","26.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","226
020","17","3.147","17.6","17.6","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","226
021","20","3.350","20.0","45.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
022","20","3.200","10.0","40.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","226
023","20","3.184","5.0","40.0","35.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","226
024","20","3.500","40.0","25.0","25.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","226
025","20","3.100","15.0","10.0","65.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","226
026","20","3.725","65.0","15.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","458","3.228","21.0","27.3","36.5","5.9","7.4","0.2","0.4","1.3",".",".",".",".",".",".",".","."
"","311
001","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","21","2.667","4.8","4.8","47.6","23.8","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","311
003","19","3.105","21.1","15.8","42.1","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"","004
311","18","2.861","11.1","16.7","27.8","22.2","22.2",".",".",".",".",".",".",".",".",".",".","."
"","311
005","15","3.571","46.7","20.0","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","311
006","17","3.500","41.2","29.4","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","311
007","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
008","17","3.607","29.4","41.2","11.8",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","311
009","18","3.611","50.0","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","311
010","18","3.853","72.2","16.7","5.6",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","311
011","19","3.806","68.4","15.8","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","311
012","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","213","3.459","43.7","20.7","21.6","5.6","5.2",".","0.5","2.8",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","24","3.604","58.3","20.8","12.5",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","26","3.519","46.2","23.1","23.1","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
