"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","151","3.178","37.1","12.6","22.5","9.3","6.0","6.0","1.3","5.3",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","196","3.511","46.4","24.5","14.3","3.6","3.6","1.0","1.0","5.6",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300","001","38","3.019","10.5","15.8","18.4","13.2","10.5",".",".","31.6",".",".",".",".",".",".",".","."
"Arts in 16th Century Italy","323","001","57","3.038","12.3","31.6","22.8","14.0","8.8","1.8","1.8","7.0",".",".",".",".",".",".",".","."
"Print&Master Printmkrs-West","334","001","43","3.338","32.6","30.2","16.3","4.7","7.0",".","2.3","4.7",".",".",".",".","2.3",".",".","."
"Study Abroad: 18th-20th C Art","337","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad-African/Asian Art","338","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"European Arch:19th Century","357","001","48","3.465","29.2","35.4","14.6","10.4",".",".",".","8.3",".",".",".",".",".","2.1",".","."
"Am Dec Arts & Int: 1620-1840","363","001","43","3.184","16.3","30.2","18.6","16.3","7.0",".",".","2.3",".",".",".",".",".","9.3",".","."
"Cities of Asia","379","001","38","3.122","5.3","28.9","47.4","15.8",".",".",".",".",".",".",".",".",".","2.6",".","."
"","411","001","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411","002","27","3.423","18.5","51.9","18.5","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Topics in Asian Art","","Course Total","39","3.368","17.9","46.2","23.1","10.3",".",".",".","2.6",".",".",".",".",".",".",".","."
"Topics-Architecturl History","449","001","23","3.478","43.5","30.4","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Art in Germany, 1900-1945","454","001","30","3.348","20.0","23.3","26.7","3.3","3.3",".",".","16.7",".",".",".",".",".","6.7",".","."
"Dimensions of Material Culture","464","001","32","3.069","28.1","34.4","9.4","3.1","3.1","3.1","9.4","3.1",".",".",".",".",".",".","6.3","."
"Prosem-Ital Renaissance Art","525","001","17","3.531","41.2","29.4","17.6",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"20th Cent European Art","556","001","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"Proseminar in American Art","565","001","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Art&Archaeolog-Ancient Greece","700","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","015","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","800","001","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Seminar-Medieval Art","815","001","8","3.571","50.0","12.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Seminar-American Art","865","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
