"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","244
001","","9","3.129","11.1","44.4","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","12","3.957","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","21","3.604","57.1","23.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","9","3.600","66.7","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","11","3.811","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"","312
001","","13","3.602","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","10","3.784","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","3.680","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
001","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","11","3.476","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","19","3.486","42.1","31.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","6","3.568","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","12","3.826","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
328","","12","3.787","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.806","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","15","3.643","46.7","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"Wood Working","334
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","13","3.883","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","6","3.848","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","10","2.950","40.0",".","20.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","346
003","","12","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","36","3.458","66.7",".","13.9","2.8","13.9","2.8",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","11","2.636",".",".","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","356
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Set Design I","372
001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","11","3.073","36.4","18.2","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","376
002","","10","3.618","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","21","3.320","47.6","14.3","23.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 68 of 407"
