"","990
016","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
017","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
018","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","11","",".","",".",".",".","",".","",".","",".","81.8","",".",".",".","18.2","",".",".",".","."
"AGROECOL
130","Dept. Total","","69","3.958","47.8","",".","1.4",".","",".","",".","",".","14.5","",".","33.3",".","2.9","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"130
AGROECOL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","","6","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","","7","4.000","100.0","",".",".",".","",".","",".","",".",".","",".",".",".",".","",".",".",".","."
"Special","","","2","3.000",".","",".","50.0",".","",".","",".","",".","50.0","",".",".",".",".","",".",".",".","."
"Graduate","","","60","4.000","43.3","",".",".",".","",".","",".","",".","15.0","",".","38.3",".","3.3","",".",".",".","."
"","Dept. Total","","69","3.958","47.8","",".","1.4",".","",".","",".","",".","14.5","",".","33.3",".","2.9","",".",".",".","."
